Wavelengt [nm],s1.2,s2.2,s3.2,s4.2
352.6,5.698453603192495e-23,4.7603725732918696e-23,5.057614173820081e-23,6.819479415647902e-23
352.8,5.914099907949069e-23,4.800208327043266e-23,5.257519872390045e-23,6.858007547939697e-23
353.0,6.08661695175433e-23,4.8500030192325114e-23,5.417444431246016e-23,6.703895018772513e-23
353.2,6.162093158419131e-23,4.830085142356813e-23,5.237529302533049e-23,6.549782489605329e-23
353.4,6.264525153178503e-23,4.9695102804867004e-23,5.0776047436770776e-23,6.626838754188921e-23
353.6,6.404695251270278e-23,5.238401618308626e-23,5.257519872390045e-23,7.358873267733045e-23
353.8,6.550256506980965e-23,5.29815524893572e-23,5.377463291532023e-23,7.936795252109987e-23
354.0,6.652688501740338e-23,5.30811418737357e-23,5.437435001103012e-23,7.782682722942803e-23
354.2,6.798249757451026e-23,5.437580387065609e-23,5.497406710674002e-23,7.474457664608434e-23
354.4,6.9006817522104e-23,5.507292956130552e-23,5.33748215181803e-23,7.435929532316639e-23
354.6,7.03546069268326e-23,5.487375079254854e-23,5.537387850387994e-23,7.397401400024842e-23
354.8,7.15945731791829e-23,5.567046586757647e-23,5.717302979100962e-23,7.243288870857658e-23
355.0,7.272671627915491e-23,5.586964463633345e-23,5.697312409243965e-23,7.050648209398678e-23
355.2,7.423624041245093e-23,5.577005525195496e-23,5.877227537956932e-23,6.819479415647902e-23
355.4,7.520664878385554e-23,5.816020047703874e-23,5.877227537956932e-23,7.127704473982269e-23
355.6,7.617705715526012e-23,6.025157754898705e-23,5.817255828385944e-23,7.551513929192026e-23
355.8,7.795613916950186e-23,5.985322001147308e-23,6.037152096812904e-23,7.512985796900231e-23
356.0,7.93578401504196e-23,5.915609432082365e-23,6.037152096812904e-23,7.281817003149455e-23
356.2,7.978913275993274e-23,6.035116693336555e-23,5.817255828385944e-23,7.474457664608434e-23
356.4,8.151430319798534e-23,6.184500769904291e-23,6.037152096812904e-23,7.859738987526396e-23
356.6,8.253862314557909e-23,6.184500769904291e-23,6.177086085811878e-23,7.898267119818191e-23
356.8,8.237688841701164e-23,6.184500769904291e-23,5.857236968099936e-23,7.62857019377562e-23
357.0,8.280818102652479e-23,6.184500769904291e-23,5.657331269529972e-23,7.32034513544125e-23
357.2,8.356294309317281e-23,6.184500769904291e-23,5.737293548957957e-23,7.089176341690474e-23
357.4,8.474899776933398e-23,6.214377585217837e-23,6.0571426666699e-23,7.166232606274066e-23
357.6,8.528811353122542e-23,6.244254400531386e-23,6.237057795382866e-23,7.127704473982269e-23
357.8,8.636634505500828e-23,6.343843784909876e-23,6.137104946097885e-23,7.358873267733045e-23
358.0,8.717501869784545e-23,6.174541831466442e-23,5.997170957098911e-23,7.050648209398678e-23
358.2,8.658199135976485e-23,6.214377585217837e-23,5.957189817384918e-23,6.780951283356105e-23
358.4,8.722893027403458e-23,6.403597415536971e-23,6.137104946097885e-23,7.012120077106882e-23
358.6,8.712110712165629e-23,6.313966969596329e-23,6.097123806383892e-23,6.819479415647902e-23
358.8,8.706719554546715e-23,6.284090154282782e-23,6.0571426666699e-23,6.93506381252329e-23
359.0,8.744457657879116e-23,6.224336523655687e-23,5.957189817384918e-23,7.050648209398678e-23
