wavelength;s2.3-s1.3;s4.3-s3.3
845,6;-0,0006;0,0014
845,5;-8,00E-04;0,0013
845,4;-0,0009;0,0012
845,3;-9,00E-04;0,0018
845,2;-0,0009;0,0012
845,1;-5,00E-04;0,0014
845;-0,0003;0,0013
844,9;-3,00E-04;0,0013
844,8;-0,0005;0,0011
844,7;-6,00E-04;0,0014
844,6;-0,0007;0,0015
844,5;-6,00E-04;0,0015
844,4;-0,0005;0,0015
844,3;-4,00E-04;0,0015
844,2;-0,0005;0,0013
844,1;-4,00E-04;0,0011
844;-0,0005;0,0012
843,9;-6,00E-04;0,0011
843,8;-0,0003;0,0011
843,7;-4,00E-04;0,0012
843,6;-0,0002;0,0014
843,5;-1,00E-04;0,0014
843,4;-0,0003;0,0014
843,3;-1,00E-04;0,0012
843,2;-0,0003;0,0009
843,1;-3,00E-04;0,0012
843;-0,0004;0,0012
842,9;-5,00E-04;0,0012
842,8;-0,0006;0,0014
842,7;-7,00E-04;0,0014
842,6;-0,001;0,0012
842,5;-1,20E-03;0,0008
842,4;-0,0014;0,0009
842,3;-1,10E-03;0,0011
842,2;-0,0013;0,0009
842,1;-1,10E-03;0,0012
842;-0,0013;0,0012
841,9;-1,30E-03;0,0009
841,8;-0,001;0,0013
841,7;-9,00E-04;0,0011
841,6;-0,0007;0,001
841,5;-9,00E-04;0,0007
841,4;-0,0008;0,0006
841,3;-1,00E-03;0,0005
841,2;-0,0008;0,0007
841,1;-6,00E-04;0,0011
841;-0,0008;0,0011
840,9;-5,00E-04;0,0014
840,8;-0,0006;0,0014
840,7;-5,00E-04;0,0013
840,6;-0,0007;0,0011
840,5;-9,00E-04;0,0009
840,4;-0,0011;0,0008
840,3;-1,20E-03;0,0007
840,2;-0,0008;0,0009
840,1;-5,00E-04;0,0013
840;-1E-04;0,0016
839,9;1,00E-04;0,0018
839,8;-0,0002;0,0014
839,7;-4,00E-04;0,0011
839,6;-0,0006;0,001
839,5;-9,00E-04;0,0009
839,4;-0,0009;0,0012
839,3;-7,00E-04;0,0012
839,2;-0,0004;0,0014
839,1;-6,00E-04;0,0013
839;-0,0006;0,0012
838,9;-1,00E-03;0,001
838,8;-0,0008;0,0009
838,7;-7,00E-04;0,0009
838,6;-0,0008;0,0008
838,5;-6,00E-04;0,001
838,4;-0,0007;0,0009
838,3;-7,00E-04;0,0007
838,2;-0,0007;0,0007
838,1;-8,00E-04;0,0008
838;-0,0009;0,0006
837,9;-6,00E-04;0,0009
837,8;-0,0003;0,0009
837,7;-1,00E-04;0,001
837,6;-0,0004;0,0013
837,5;-7,00E-04;0,0013
837,4;-0,0011;0,001
837,3;-1,20E-03;0,001
837,2;-0,0012;0,0009
837,1;-5,00E-04;0,0013
837;-0,0005;0,0013
836,9;-3,00E-04;0,0017
836,8;-0,0002;0,0015
836,7;-4,00E-04;0,0014
836,6;-0,0003;0,0015
836,5;-3,00E-04;0,0014
836,4;-0,0006;0,0014
836,3;-6,00E-04;0,0014
836,2;-0,001;0,0011
836,1;-1,30E-03;0,001
836;-0,0011;0,0011
835,9;-1,10E-03;0,001
835,8;-0,001;0,0012
835,7;-6,00E-04;0,0013
835,6;-0,0008;0,0015
835,5;-9,00E-04;0,0011
835,4;-0,0007;0,0012
835,3;-1,00E-03;0,0012
835,2;-0,0006;0,0012
835,1;-5,00E-04;0,0013
835;-0,0004;0,0012
834,9;-5,00E-04;0,0011
834,8;-0,0004;0,0014
834,7;-5,00E-04;0,0014
834,6;-0,0004;0,0016
834,5;-4,00E-04;0,0016
834,4;-0,0006;0,0015
834,3;-3,00E-04;0,0014
834,2;-0,0005;0,0012
834,1;-4,00E-04;0,0015
834;-0,0005;0,0015
833,9;-6,00E-04;0,0017
833,8;-0,0006;0,0014
833,7;-6,00E-04;0,0013
833,6;-0,0005;0,0012
833,5;-5,00E-04;0,0009
833,4;-0,0008;0,0008
833,3;-7,00E-04;0,0007
833,2;-0,0008;0,0007
833,1;-1,00E-03;0,0008
833;-0,0013;0,0008
832,9;-1,10E-03;0,001
832,8;-0,0012;0,001
832,7;-1,50E-03;0,0007
832,6;-0,0013;0,0007
832,5;-1,20E-03;0,0009
832,4;-0,0009;0,0012
832,3;-4,00E-04;0,0016
832,2;-0,0003;0,0017
