wavelength,s1.4,s2.4,s3.4,s4.4,s5.4,s6.4,s7.4
205.1,2.7424015890968727,2.7019980885596335,2.710616009726856,2.677599298761522,2.6853218514957873,2.661146903805915,2.6951709042583274
205.2,2.7398274048521176,2.7040126675337897,2.7093848781315386,2.680173483006277,2.6880079567946615,2.647716377311542,2.6979689306113217
205.3,2.747102273369903,2.705803404399706,2.7130782729174916,2.6750251145167674,2.7090491149691798,2.646709087824464,2.700655035910196
205.4,2.744304247016909,2.69886429904428,2.7089371939150597,2.672674772380252,2.726284957303625,2.6470448509868234,2.6987523779901603
205.5,2.759077826160719,2.689239088389979,2.729306825764859,2.6809569303851157,2.7284114573319007,2.6559985353164057,2.6895748515523383
205.6,2.75381753661709,2.6981927727195614,2.7253895888706667,2.68386687779223,2.7343432732002486,2.6665191144036644,2.689798693660578
205.7,2.764226194650229,2.710951772889216,2.7225915625176724,2.67883043035684,2.730426036306057,2.680845009330996,2.6970735621783635
205.8,2.7726202737092125,2.7164359045410844,2.7365816942826444,2.6840907199004693,2.7429611943674717,2.6932682463382913,2.696737799016004
205.9,2.7765375106034043,2.7384843522026805,2.7477737996946217,2.6884556410111404,2.754265220833569,2.6974093253407228,2.708265667590341
206.0,2.7870580896906634,2.751802957642934,2.7579586156195215,2.7004311938019563,2.7632189051631513,2.6983046937736805,2.7244942204377085
206.1,2.7842600633376686,2.745311536503987,2.7645619578125884,2.7178908782446416,2.7679195894361817,2.7031172991008314,2.7360220890120455
206.2,2.785603115987106,2.744080404908669,2.7715010631680146,2.716659746649324,2.7615400893513544,2.7035649833173103,2.7485572470734603
206.3,2.7873938528530227,2.7401631680144773,2.771836826330374,2.7175551150822828,2.75874206299836,2.7009907990725557,2.7561678787536055
206.4,2.7875057739071427,2.7312094836848955,2.7784401685234403,2.7231511677882714,2.755720194537126,2.7138617202963298,2.7673599841655827
206.5,2.801831668834474,2.7464307470451845,2.7763136684951646,2.725165746762427,2.750124141831137,2.7081537465362215,2.7628831420007915
206.6,2.8095542215687384,2.768367273652661,2.7715010631680146,2.7351267205790872,2.7467665102075443,2.7150928518916473,2.766128852570265
206.7,2.8255589323078665,2.7674719052197028,2.7730679579256914,2.729306825764859,2.752250641859413,2.72382269411299,2.769710326302098
206.8,2.8340649324209695,2.784148142283549,2.7728441158174517,2.7269564836283435,2.753369852400611,2.72348693095063,2.7628831420007915
206.9,2.8326099587174123,2.7807905106599557,2.783252773850591,2.7281876152236615,2.7726202737092125,2.72393461516711,2.768367273652661
207.0,2.8434663009670307,2.7700460894644574,2.7900799581518974,2.7295306678730986,2.789856116043658,2.7209127467058756,2.7634427472713905
207.1,2.841563643046994,2.7728441158174517,2.800040931968557,2.7478857207487417,2.790303800260137,2.7204650624893962,2.758182457727761
207.2,2.839660985126958,2.7726202737092125,2.8069800373239837,2.762323536730193,2.7954521687496467,2.7209127467058756,2.7648977209749477
207.3,2.830259616580897,2.7814620369846743,2.804182010970989,2.7781044053610815,2.8057489057286658,2.7174431940281627,2.7634427472713905
207.4,2.8314907481762144,2.7825812475258727,2.8089946162981394,2.7928779845048917,2.8039581688627497,2.7184504835152405,2.7660169315161456
207.5,2.825223169145507,2.7838123791211897,2.8044058530792286,2.790639563422496,2.8055250636204265,2.7379247469320815,2.7711653000056553
