,wavelength,s1.3,s2.3,s3.3,s4.3,s5.3,s6.3
65,206.5,1.540368073977209,1.481903088791127,2.7229273256800317,2.6776528899400094,115.55390322580647,94.10426470588236
66,206.6,1.5350071642069865,1.4839877718569925,2.7326644573884527,2.70071346908168,112.57461290322583,95.26844117647059
67,206.7,1.5344525873342052,1.488892908482558,2.7490049312899396,2.7119012748038767,113.21303225806452,97.01470588235294
68,206.8,1.5375335699607695,1.4851527418055643,2.746878431261664,2.7129287263497925,111.0849677419355,96.04455882352941
69,206.9,1.5451127872221182,1.4842330286882708,2.7503479839393767,2.712586242501154,110.44654838709678,93.32814705882352
70,207.0,1.5481321501961516,1.488708965859099,2.7455353786122263,2.709732210429165,108.53129032258065,92.16397058823529
71,207.1,1.5534314403138425,1.4906097063015056,2.7460949838828252,2.719550080756807,105.552,87.31323529411765
72,207.2,1.5600247431346905,1.4997455232666212,2.760756641972516,2.718522629210891,105.33919354838712,88.47741176470588
73,207.3,1.5569437605081262,1.4993163238118843,2.7704937736809367,2.733477757268113,107.25445161290324,90.61173529411764
74,207.4,1.5613803754903792,1.5024433484106823,2.775082536899847,2.744323079141671,111.93619354838711,91.19382352941176
75,207.5,1.5582377732112833,1.5098010533490305,2.78873690550246,2.745008046838948,114.70267741935486,91.77591176470588
76,207.6,1.5539243975340928,1.5069192855815106,2.790303800260137,2.747633756345178,116.40512903225807,89.2535294117647
77,207.7,1.5574367177283763,1.5127441353243696,2.7860508002035855,2.748204562759576,113.42583870967744,87.70129411764705
78,207.8,1.5616884737530357,1.5142156763120391,2.795676010857886,2.7495744981541304,113.21303225806452,88.8654705882353
79,207.9,1.5708081823276665,1.5164229877935436,2.791087247638975,2.7528851753576373,114.06425806451614,89.83561764705883
80,208.0,1.573211348776387,1.5221252091207633,2.7905276423683767,2.7639588197969545,113.42583870967744,92.16397058823529
81,208.1,1.5749983186997945,1.5284405725261787,2.7953402476955267,2.7657854003230273,113.85145161290323,91.77591176470588
82,208.2,1.5761074724453574,1.5352464495941507,2.798362116156761,2.767954464697739,112.149,91.58188235294118
83,208.3,1.5786338781991405,1.538066903153851,2.7908634055307355,2.7815396573604065,111.51058064516131,90.22367647058823
84,208.4,1.5918821034933681,1.5445048949749056,2.789408431827179,2.7875902053530233,107.46725806451614,87.70129411764705
85,208.5,1.592313441061087,1.548674261106636,2.795676010857886,2.8089383652515,107.25445161290324,89.64158823529411
86,208.6,1.5910810480104614,1.5529662556540058,2.78851306339422,2.8353096215966778,106.19041935483872,88.28338235294117
87,208.7,1.592683158976275,1.5490421463535538,2.7863865633659444,2.8347388151822797,103.63674193548388,87.70129411764705
88,208.8,1.5867060526807397,1.5489195179379143,2.7926541423966524,2.844785008075681,106.61603225806452,85.9550294117647
89,208.9,1.5955176629927144,1.5598947611376168,2.7926541423966524,2.8410176857406553,105.33919354838712,85.9550294117647
90,209.0,1.5981056883990286,1.563144414152054,2.8012720635638746,2.8317706218274115,104.7007741935484,85.9550294117647
91,209.1,1.5999542779749671,1.5734452010657414,2.807763484702822,2.8418168147208127,103.63674193548388,87.70129411764705
92,209.2,1.605007089482533,1.5769401109114567,2.815709879545326,2.853689588140286,101.72148387096776,88.28338235294117
93,209.3,1.6042676536521574,1.5827649606543155,2.8260066165243454,2.8624800069220124,99.38061290322581,86.92517647058823
94,209.4,1.6110458154305995,1.5920234060350702,2.837198721936323,2.870585458006461,98.5293870967742,86.92517647058823
95,209.5,1.6128944050065384,1.599871624635975,2.847607379969462,2.8761793608675594,97.8909677419355,85.56697058823529
96,209.6,1.6115387726508499,1.6052059607162772,2.845480879941187,2.8761793608675594,98.5293870967742,87.89532352941177
97,209.7,1.6138186997945076,1.5965606574137183,2.8403325114516766,2.899924907706507,100.44464516129032,88.67144117647058
