wavelength;s1.4;s2.4;s3.4;s4.4;s5.4;s6.4;s7.4
226,4;2,8787;2,5021;2,2075;2,0106;1,9149;1,6437;1,57
226,5;2,8584;2,4688;2,1647;1,9672;1,8722;1,6035;1,5306
226,6;2,8467;2,4318;2,1178;1,9204;1,83;1,5623;1,4908
226,7;2,8389;2,3984;2,0775;1,8792;1,7918;1,5232;1,4568
226,8;2,8238;2,3594;2,0334;1,8357;1,7488;1,4864;1,4221
226,9;2,8237;2,3163;1,991;1,7952;1,7108;1,4513;1,3879
227;2,8099;2,2779;1,9497;1,7585;1,6711;1,418;1,3562
227,1;2,7988;2,2347;1,9038;1,7187;1,6329;1,3842;1,323
227,2;2,7986;2,1933;1,8629;1,6839;1,5937;1,3512;1,2904
227,3;2,7829;2,1479;1,8182;1,6441;1,553;1,3172;1,2582
227,4;2,7777;2,099;1,7747;1,6034;1,5153;1,2833;1,2254
227,5;2,7643;2,0511;1,7371;1,563;1,4787;1,2509;1,1967
227,6;2,7447;2,0046;1,6961;1,5215;1,4414;1,2175;1,1666
227,7;2,7266;1,9629;1,6536;1,4811;1,405;1,1866;1,1368
227,8;2,7024;1,9206;1,6157;1,4443;1,3696;1,1577;1,109
227,9;2,6714;1,8719;1,5741;1,4094;1,335;1,1281;1,0797
228;2,633;1,8281;1,535;1,3715;1,2999;1,0996;1,0493
228,1;2,5997;1,7842;1,499;1,3373;1,269;1,0715;1,0227
228,2;2,5609;1,7417;1,4604;1,3023;1,2375;1,0433;0,9951
228,3;2,5263;1,7036;1,4261;1,2694;1,207;1,0174;0,9703
228,4;2,493;1,6629;1,3899;1,2387;1,1782;0,9923;0,9455
228,5;2,4506;1,6208;1,3531;1,207;1,1456;0,9655;0,9205
228,6;2,4165;1,5822;1,3205;1,1768;1,1172;0,9406;0,8974
228,7;2,3714;1,5422;1,2851;1,145;1,0881;0,9159;0,8739
228,8;2,3289;1,5028;1,2528;1,1147;1,0599;0,8916;0,8511
228,9;2,2871;1,4669;1,2238;1,0869;1,0355;0,869;0,8307
229;2,24;1,4288;1,1928;1,0588;1,0087;0,8459;0,8092
229,1;2,1958;1,394;1,163;1,0317;0,9824;0,8227;0,7876
229,2;2,1516;1,3621;1,1353;1,0055;0,9589;0,8025;0,7688
229,3;2,1037;1,3281;1,1072;0,9789;0,935;0,7828;0,7493
229,4;2,0559;1,2976;1,0808;0,9545;0,9116;0,7643;0,7305
229,5;2,0113;1,2644;1,0565;0,9303;0,8911;0,7457;0,7134
229,6;1,9649;1,2326;1,0304;0,9063;0,869;0,7245;0,6947
229,7;1,9232;1,2014;1,006;0,883;0,8485;0,7059;0,6776
229,8;1,8791;1,1713;0,9808;0,8594;0,8274;0,6865;0,6602
229,9;1,8347;1,1412;0,9551;0,8373;0,8059;0,6665;0,6426
230;1,794;1,1146;0,9311;0,8181;0,7863;0,6499;0,6273
230,1;1,7508;1,0853;0,9055;0,797;0,7657;0,6308;0,6111
230,2;1,7074;1,0574;0,8798;0,7761;0,7464;0,6135;0,5953
230,3;1,668;1,0323;0,8582;0,7564;0,7275;0,5984;0,5803
230,4;1,6262;1,0054;0,8352;0,7348;0,7089;0,5825;0,5653
230,5;1,5864;0,9823;0,8157;0,716;0,6908;0,568;0,5508
230,6;1,5482;0,9595;0,7965;0,6984;0,6744;0,5547;0,5377
230,7;1,5091;0,9349;0,7758;0,6779;0,6576;0,5404;0,5243
230,8;1,472;0,9123;0,7566;0,6611;0,6408;0,5269;0,5117
230,9;1,4351;0,8881;0,7361;0,6416;0,6236;0,5134;0,498
231;1,4002;0,8644;0,7156;0,6235;0,6066;0,4992;0,4844
231,1;1,3665;0,8429;0,6975;0,608;0,5917;0,4864;0,472
231,2;1,3305;0,8212;0,6797;0,5915;0,5772;0,474;0,4596
