X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-;X MnClH2O;Y MnClH2O;X MnCl2aq;Y MnCl2aq;X MnH2O;Y MnH2O
168,32;100,6885554;176,52;0,369099841;178,88;1241,197836;;;173,6;3886,861054;143,6;5665,020265
168,56;87,75837583;176,66;0,498254503;179,04;1455,462709;;;173,8;4252,402395;143,8;6498,818731
168,8;75,38666996;176,8;0,669413127;179,2;1698,912;;;174;4614,8606;144;7387,723272
169,04;63,85286939;176,94;0,895122315;179,36;1973,983476;;;174,2;4969,260914;144,2;8328,621386
169,28;53,3653169;177,08;1,191311219;179,52;2283,03455;;;174,4;5310,977306;144,4;9318,904378
169,52;44,06629385;177,22;1,578091813;179,68;2628,281073;;;174,6;5635,994348;144,6;10356,22922
169,76;36,04298191;177,36;2,080716766;179,84;3011,730199;;;174,8;5941,157307;144,8;11437,86727
170;29,34327761;177,5;2,730717593;180;3435,108528;;;175;6224,394191;145;12559,66552
170,24;23,99539022;177,64;3,567246917;180,16;3899,787091;;;175,2;6484,89416;145,2;13714,73233
170,48;20,03030032;177,78;4,6386493;180,32;4406,705094;;;175,4;6723,228612;145,4;14892,03929
170,72;17,50636902;177,92;6,004285067;180,48;4956,294634;;;175,6;6941,404252;145,6;16075,18803
170,96;16,5355898;178,06;7,73663062;180,64;5548,408851;;;175,8;7142,84134;145,8;17241,61072
171,2;17,31109634;178,2;9,923676729;180,8;6182,25619;;;176;7332,274873;146;18362,44594
171,44;20,13552185;178,34;12,67164296;180,96;6856,343504;;;176,2;7515,581322;146,2;19403,25875
171,68;25,44961267;178,48;16,10802164;181,12;7568,430738;;;176,4;7699,538356;146,4;20325,66119
171,92;33,86012097;178,62;20,3849581;181,28;8315,49982;;;176,6;7891,529397;146,6;21089,75538
172,16;46,16546042;178,76;25,6829658;181,44;9093,740103;;;176,8;8099,20852;146,8;21657,18685
172,4;63,37695605;178,9;32,2149642;181,6;9898,552379;;;177;8330,143861;147;21994,48427
