X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-;X MnClH2O;Y MnClH2O;X MnCl2aq;Y MnCl2aq;X MnH2O;Y MnH2O
210,5;18,3149762;213,88;891,4018887;194,2;6173,425951;176,62;1711,947136;181,78;3995,943372;139,36;345,8350821
211;11,17550488;214,16;1026,444366;194,4;6808,884995;176,84;1733,999151;181,96;4289,337626;139,52;457,3760724
211,5;6,65434987;214,44;1189,234288;194,6;7463,974482;177,06;1753,008233;182,14;4580,36943;139,68;595,8739288
212;3,867932729;214,72;1382,979967;194,8;8132,567625;177,28;1769,858653;182,32;4866,490578;139,84;764,8137393
212,5;2,195542607;215;1610,68109;195;8807,808866;177,5;1785,515235;182,5;5145,285192;140;967,2101332
213;1,217438884;215,28;1874,999583;195,2;9482,226709;177,72;1801,012128;182,68;5414,551015;140,16;1205,294195
213,5;0,659698205;215,56;2178,121524;195,4;10147,87283;177,94;1817,438131;182,86;5672,377372;140,32;1480,182546
214;0,349449661;215,84;2521,614744;195,6;10796,48402;178,16;1835,916362;183,04;5917,216407;140,48;1791,554836
214,5;0,181013672;216,12;2906,287824;195,8;11419,66241;178,38;1857,576528;183,22;6147,944353;140,64;2137,370847
215;0,091721202;216,4;3332,05709;196;12009,06843;178,6;1883,518888;183,4;6363,909822;140,8;2513,660707
215,5;0,04547805;216,68;3797,828807;196,2;12556,62014;178,82;1914,770136;183,58;6564,966562;140,96;2914,420381
216;0,02207231;216,96;4301,404021;196,4;13054,69216;179,04;1952,232713;183,76;6751,488706;141,12;3331,639334
216,5;0,010489282;217,24;4839,4133;196,6;13496,30715;179,26;1996,630439;183,94;6924,367203;141,28;3755,477939
217;0,004882384;217,52;5407,28793;196,8;13875,31298;179,48;2048,454519;184,12;7084,986948;141,44;4174,599558
217,5;0,002226592;217,8;5999,272966;197;14186,53908;179,7;2107,914871;184,3;7235,184919;141,6;4576,647388
218;0,000995186;218,08;6608,485877;197,2;14425,92644;179,92;2174,902147;184,48;7377,190498;141,76;4948,840794
218,5;0,000436067;218,36;7227,022504;197,4;14590,62639;180,14;2248,965748;184,66;7513,549953;141,92;5278,651846
219;0,000187378;218,64;7846,109706;197,6;14679,06499;180,36;2329,312388;184,84;7647,037762;142,08;5554,511947
219,5;7,90E-05;218,92;8456,301584;197,8;14690,97075;180,58;2414,828558;185,02;7780,558124;142,24;5766,49243
220;3,27E-05;219,2;9047,713699;198;14627,36531;180,8;2504,128467;185,2;7917,040415;142,4;5906,902723
220,5;1,33E-05;219,48;9610,287365;198,2;14490,5178;181,02;2595,626953;185,38;8059,332674;142,56;5970,755505
221;5,36E-06;219,76;10134,07413;198,4;14283,86537;181,24;2687,634652;185,56;8210,097307;142,72;5956,059579
221,5;2,27E-06;220,04;10609,52904;198,6;14011,90327;181,46;2778,470457;185,74;8371,713086;142,88;5863,916797
222;1,32E-06;220,32;11027,80048;198,8;13680,04922;181,68;2866,584416;185,92;8546,187273;143,04;5698,417388
222,5;1,65E-06;220,6;11381,00388;199;13294,48744;181,9;2950,682701;186,1;8735,081216;143,2;5466,346408
223;3,48E-06;220,88;11662,4676;199,2;12861,99834;182,12;3029,845441;186,28;8939,452181;143,36;5176,730572
223,5;8,23E-06;221,16;11866,93981;199,4;12389,78011;182,34;3103,62806;186,46;9159,813451;143,52;4840,267687
224;1,94E-05;221,44;11990,74757;199,6;11885,26845;182,56;3172,137386;186,64;9396,113913;143,68;4468,688949
224,5;4,49E-05;221,72;12031,90136;199,8;11355,96033;182,78;3236,075194;186,82;9647,737518;143,84;4074,106989
225;0,000101343;222;11990,14091;200;10809,24721;183;3296,743811;187;9913,522147;144;3668,399779
225,5;0,000223217;222,28;11866,92136;200,2;10252,26239;183,22;3356,010978;187,18;10191,79661;144,16;3262,673183
226;0,000479976;222,56;11665,34122;200,4;9691,746268;183,44;3416,233948;187,36;10480,43384;144,32;2866,834279
226,5;0,001007848;222,84;11390,01682;200,6;9133,932456;183,66;3480,145711;187,54;10776,91759;144,48;2489,295087
227;0,002067189;223,12;11046,90988;200,8;8584,456531;183,88;3550,708981;187,72;11078,41975;144,64;2136,813524
227,5;0,00414285;223,4;10643,11693;201;8048,288333;184,1;3630,946013;187,9;11381,8848;144,8;1814,466722
228;0,008114755;223,68;10186,6309;201,2;7529,687753;184,32;3723,754137;188,08;11684,11799;144,96;1525,742198
228,5;0,015539268;223,96;9686,085499;201,4;7032,183128;184,54;3831,718135;188,26;11981,87378;145,12;1272,725466
229;0,029099454;224,24;9150,493612;201,6;6558,570637;184,76;3956,930989;188,44;12271,94131;145,28;1056,358712
229,5;0,05330364;224,52;8588,990275;201,8;6110,932534;184,98;4100,834209;188,62;12551,22392;145,44;876,7438494
230;0,095535279;224,8;8010,589828;202;5690,67163;185,2;4264,087877;188,8;12816,81035;145,6;733,464311
230,5;0,16757962;225,08;7423,965594;202,2;5298,55918;185,42;4446,478791;188,98;13066,03552;145,76;625,9024814
231;0,287768536;225,36;6837,258635;202,4;4934,793194;185,64;4646,872854;189,16;13296,52965;145,92;553,5332715
231,5;0,483885738;225,64;6257,920317;202,6;4599,064234;185,86;4863,215262;189,34;13506,25491;146,08;516,1781749
232;0,796949944;225,92;5692,591465;202,8;4290,625849;186,08;5092,579214;189,52;13693,52939;146,24;514,207885
232,5;1,285931599;226,2;5147,018992;203;4008,367066;186,3;5331,261133;189,7;13857,03885;146,4;548,6848294
233;2,033348427;226,48;4626,009177;203,2;3750,884585;186,52;5574,917746;189,88;13995,83699;146,56;621,4397215
233,5;3,15151951;226,76;4133,415251;203,4;3516,552724;186,74;5818,738129;190,06;14109,33561;146,72;735,0785001
234;4,789037766;227,04;3672,155733;203,6;3303,589456;186,96;6057,64198;190,24;14197,28608;146,88;892,9180159
234,5;7,136759701;227,32;3244,259072;203,8;3110,117289;187,18;6286,494135;190,42;14259,75396;147,04;1098,850788
235;10,43233733;227,6;2850,929577;204;2934,218067;187,4;6500,324627;190,6;14297,08843;147,2;1357,141345
235,5;14,96207444;227,88;2492,629378;204,2;2773,981093;187,62;6694,54352;190,78;14309,88851;147,36;1672,159265
236;21,05873582;228,16;2169,17116;204,4;2627,544287;187,84;6865,140201;190,96;14298,9675;147,52;2048,057193
236,5;29,09393745;228,44;1879,816737;204,6;2493,128314;188,06;7008,857839;191,14;14265,31739;147,68;2488,405664
237;39,46395854;228,72;1623,376976;204,8;2369,06386;188,28;7123,335088;191,32;14210,07423;147,84;2995,800486
237,5;52,56828183;229;1398,309187;205;2253,812372;188,5;7207,208903;191,5;14134,48567;148;3571,462269
238;68,78089503;229,28;1202,808827;205,2;2145,980726;188,72;7260,174247;191,68;14039,88123;148,16;4214,851061
238,5;88,41533256;229,56;1034,893083;205,4;2044,330355;188,94;7282,998592;191,86;13927,64574;148,32;4923,321527
239;111,6855119;229,84;892,4746338;205,6;1947,781456;189,16;7277,491157;192,04;13799,1961;148,48;5691,845137
239,5;138,6654836;230,12;773,4245985;205,8;1855,412898;189,38;7246,428811;192,22;13655,96136;148,64;6512,82508
240;169,2520956;230,4;675,6242886;206;1766,458471;189,6;7193,44242;192,4;13499,36579;148,8;7376,026803
240,5;203,1350908;230,68;597,0059326;206,2;1680,300113;189,82;7122,868939;192,58;13330,81452;148,96;8268,642073
241;239,7791613;230,96;535,582971;206,4;1596,458724;190,04;7039,575904;192,76;13151,68148;149,12;9175,49746
241,5;278,4218743;231,24;489,4708653;206,6;1514,583138;190,26;6948,76591;192,94;12963,29892;149,28;10079,40947
242;318,0901562;231,52;456,8995946;206,8;1434,43779;190,48;6855,769324;193,12;12766,94829;149,44;10961,67873
242,5;357,6362714;231,8;436,2191654;207;1355,88958;190,7;6765,833788;193,3;12563,85185;149,6;11802,70563
243;395,7921362;232,08;425,8995132;207,2;1278,894379;190,92;6683,91902;193,48;12355,16491;149,76;12582,69995
243,5;431,2386458;232,36;424,5261684;207,4;1203,483565;191,14;6614,505086;193,66;12141,96833;149,92;13282,449
244;462,6847532;232,64;430,7929848;207,6;1129,750962;191,36;6561,421647;193,84;11925,2614;150,08;13884,10253
244,5;488,9496109;232,92;443,4931162;207,8;1057,840463;191,58;6527,704792;194,02;11705,95483;150,24;14371,92946
245;509,0403978;233,2;461,5092757;208;987,9346109;191,8;6515,486873;194,2;11484,86439;150,4;14733,00142
245,5;522,218625;233,48;483,8041421;208,2;920,2443189;192,02;6525,923468;194,38;11262,70506;150,56;14957,76162
246;528,0487432;233,76;509,4115992;208,4;854,9999115;192,24;6559,160033;194,56;11040,08622;150,72;15040,44396
246,5;526,4246352;234,04;537,4293064;208,6;792,443577;192,46;6614,339267;194,74;10817,5081;150,88;14979,31674
247;517,5718357;234,32;567,0129273;208,8;732,8233029;192,68;6689,648552;194,92;10595,35991;151,04;14776,73667
247,5;502,0257796;234,6;597,3721742;209;676,3883112;192,9;6782,405206;195,1;10373,91985;151,2;14439,0113
248;480,5887258;234,88;627,7686821;209,2;623,3859695;193,12;6889,175779;195,28;10153,35738;151,36;13976,08025
248,5;454,2699418;235,16;657,5155957;209,4;574,0601133;193,34;7005,924221;195,46;9933,737824;151,52;13401,03731
249;424,2150684;235,44;685,978653;209,6;528,6506791;193,56;7128,18256;195,64;9715,029549;151,68;12729,52498
249,5;391,6311817;235,72;712,5784666;209,8;487,394514;193,78;7251,236828;195,82;9497,113602;151,84;11979,03973
250;357,7139331;236;736,7936546;210;450,5271963;194;7370,320355;196;9279,795753;152;11168,19043
250,5;323,5823666;236,28;758,1644374;210,2;418,2856791;194,22;7480,806269;196,18;9062,820722;152,16;10315,95275
251;290,2257378;236,56;776,2963186;210,4;390,9115474;194,44;7578,391141;196,36;8845,888288;152,32;9440,960093
251,5;258,4651021;236,84;790,8634751;210,6;368,6546612;194,66;7659,262173;196,54;8628,670864;152,48;8560,865937
252;228,9308094;237,12;801,6115227;210,8;351,7769509;194,88;7720,241103;196,72;8410,832088;152,64;7691,805826
252,5;202,0555243;237,4;808,3593657;211;340,5561222;195,1;7758,899131;196,9;8192,045895;152,8;6847,977976
