Wavelengt [nm],s1.1,s2.1,s3.1,s4.1,s5.1,s6.1,s7.1,s8.1
388.8,6.854731536691048e-23,1.122339430450189e-22,2.260850731226881e-22,2.0614642170505496e-22,7.126633779715078e-22,1.923775425067436e-21,7.798355183536076e-22,2.123046496180671e-21
389.0,6.869061985896674e-23,1.127960496045098e-22,2.260850731226881e-22,2.073357279841226e-22,7.169781915616481e-22,1.923775425067436e-21,7.993314063124477e-22,2.142765194287612e-21
389.2,6.897722884307926e-23,1.1260868075134618e-22,2.255184438667415e-22,2.0773216341047847e-22,7.133825135698646e-22,1.9269817174425483e-21,7.909760257586591e-22,2.142765194287612e-21
389.4,6.869061985896674e-23,1.122339430450189e-22,2.2476293819214608e-22,2.0654285713141085e-22,7.097868355780809e-22,1.9125534017545425e-21,7.798355183536076e-22,2.090181999335769e-21
389.6,6.859508353092923e-23,1.127960496045098e-22,2.2476293819214608e-22,2.0654285713141085e-22,7.097868355780809e-22,1.9109502555669863e-21,7.826206452048704e-22,2.10990069744271e-21
389.8,6.878615618700425e-23,1.1298341845767345e-22,2.253295674480927e-22,2.0693929255776673e-22,7.112251067747944e-22,1.9173628403172113e-21,7.909760257586591e-22,2.123046496180671e-21
390.0,6.902499700709801e-23,1.127960496045098e-22,2.2589619670403923e-22,2.0654285713141085e-22,7.090676999797241e-22,1.9157596941296548e-21,7.854057720561333e-22,2.1164735968116905e-21
390.2,6.912053333513551e-23,1.127960496045098e-22,2.253295674480927e-22,2.0852503426319022e-22,7.090676999797241e-22,1.907743963191874e-21,7.854057720561333e-22,2.1033277980737297e-21
390.4,6.888169251504175e-23,1.1307710288425526e-22,2.2438518535484836e-22,2.0852503426319022e-22,7.112251067747944e-22,1.9029345246292055e-21,7.854057720561333e-22,2.090181999335769e-21
390.6,6.897722884307926e-23,1.1270236517792798e-22,2.2438518535484836e-22,2.073357279841226e-22,7.061911575862973e-22,1.9109502555669863e-21,7.826206452048704e-22,2.10990069744271e-21
390.8,6.902499700709801e-23,1.1260868075134618e-22,2.2438518535484836e-22,2.0654285713141085e-22,7.040337507912272e-22,1.907743963191874e-21,7.826206452048704e-22,2.096754898704749e-21
391.0,6.921606966317302e-23,1.1288973403109162e-22,2.2476293819214608e-22,2.0812859883683435e-22,7.061911575862973e-22,1.914156547942099e-21,7.798355183536076e-22,2.10990069744271e-21
391.2,6.935937415522929e-23,1.1317078731083709e-22,2.249518146107949e-22,2.0812859883683435e-22,7.069102931846541e-22,1.907743963191874e-21,7.798355183536076e-22,2.1164735968116905e-21
391.4,6.940714231924804e-23,1.132644717374189e-22,2.2476293819214608e-22,2.0773216341047847e-22,7.061911575862973e-22,1.9045376708167617e-21,7.854057720561333e-22,2.1164735968116905e-21
391.6,6.945491048326679e-23,1.132644717374189e-22,2.2457406177349724e-22,2.073357279841226e-22,7.061911575862973e-22,1.9029345246292055e-21,7.826206452048704e-22,2.0836090999667883e-21
391.8,6.95504468113043e-23,1.13732893870328e-22,2.2400743251755064e-22,2.0812859883683435e-22,7.054720219879407e-22,1.901331378441649e-21,7.770503915023446e-22,2.070463301228828e-21
392.0,7.002812845149183e-23,1.138265782969098e-22,2.2419630893619947e-22,2.0931790511590197e-22,7.04752886389584e-22,1.9045376708167617e-21,7.770503915023446e-22,2.096754898704749e-21
392.2,7.012366477952934e-23,1.13732893870328e-22,2.2381855609890175e-22,2.0852503426319022e-22,7.04752886389584e-22,1.9029345246292055e-21,7.714801377998188e-22,2.096754898704749e-21
392.4,7.026696927158559e-23,1.143886848564007e-22,2.2476293819214608e-22,2.0812859883683435e-22,7.040337507912272e-22,1.901331378441649e-21,7.742652646510817e-22,2.0836090999667883e-21
392.6,7.060134641971686e-23,1.1476342256272798e-22,2.253295674480927e-22,2.089214696895461e-22,7.025954795945137e-22,1.8965219398789805e-21,7.770503915023446e-22,2.0836090999667883e-21
