X Mn cam 1;Y Mn cam 1;X Mn cam 2;Y Mn cam 2;X Mn wb 1;Y Mn wb 1;X Mn wb 2;Y Mn wb 2;X MnCl+ cam 1;Y MnCl+ cam 1;X MnCl+ cam 2;Y MnCl+ cam 2;X MnCl+ wb 1;Y MnCl+ wb 1;X MnCl+ wb 2;Y MnCl+ wb 2;X MnCl2 cam 1;Y MnCl2 cam 1;X MnCl2 cam 2;Y MnCl2 cam 2;X MnCl2 wb 1;Y MnCl2 wb 1;X MnCl2 wb 2;Y MnCl2 wb 2;X MnCl2 wb 3;Y MnCl2 wb 3;X MnCl2 wb 4;Y MnCl2 wb 4;X MnCl2 wb 5;Y MnCl2 wb 5;X MnCl3- cam 1;Y MnCl3- cam 1;X MnCl3- cam 2;Y MnCl3- cam 2;X MnCl3- cam 3;Y MnCl3- cam 3;X MnCl3- cam 4;Y MnCl3- cam 4;X MnCl3- cam 5;Y MnCl3- cam 5;X MnCl3- wb 1;Y MnCl3- wb 1;X MnCl3- wb 2;Y MnCl3- wb 2;X MnCl3- wb 3;Y MnCl3- wb 3
200,6;215,6301706;193,8;1221,010811;200,6;356,800022;193,8;2801,035383;301;233,1956709;267,5;395,3584173;301;375,113782;267,5;488,9154082;247,2;1617,253552;233,8;1390,526387;247,2;2103,561442;233,8;319,9426253;233,8;766,3877482;233,8;230,7509248;220,4;669,6279018;233,8;4274,962023;233,8;1786,019962;247,2;523,9232958;233,8;849,8280076;233,8;774,1173375;233,8;3130,41715;233,8;653,1595954;220,4;3444,120906
200,96;241,7854605;194,08;1161,850236;200,96;384,7050818;194,08;2655,438917;301,6;232,7501305;268;389,3920866;301,6;381,0868535;268;492,0983599;247,52;1592,837342;234,08;1361,299368;247,52;2079,248814;234,08;298,1327583;234,08;740,1806665;234,08;215,8731408;220,64;640,8062139;234,08;4209,144773;234,08;1703,374612;247,52;499,8552274;234,08;848,2304011;234,08;760,3430021;234,08;3021,02059;234,08;608,6759408;220,64;3351,684107
201,32;270,2618901;194,36;1106,477448;201,32;415,1833554;194,36;2511,633832;302,2;232,8107204;268,5;385,1802791;302,2;387,8407214;268,5;496,5549614;247,84;1566,600474;234,36;1331,224868;247,84;2052,304598;234,36;277,511746;234,36;713,9678568;234,36;201,7115038;220,88;612,7358556;234,36;4138,937641;234,36;1622,764924;247,84;476,2599103;234,36;845,4742734;234,36;746,0935581;234,36;2911,806176;234,36;566,5958603;220,88;3258,444898
201,68;301,130964;194,64;1054,631402;201,68;448,4303223;194,64;2370,26234;302,8;233,4243477;269;382,6493089;302,8;395,4018439;269;502,2144385;248,16;1538,661777;234,64;1300,372746;248,16;2022,860678;234,64;258,0405254;234,64;687,8184874;234,64;188,2534101;221,12;585,4280478;234,64;4064,631584;234,64;1544,275364;248,16;453,1809284;234,64;841,5777797;234,64;731,3945176;234,64;2803,060145;234,64;526,8457814;221,12;3164,618936
202,04;334,4521568;194,92;1006,045287;202,04;484,6282464;194,92;2231,898176;303,4;234,634319;269,5;381,7181414;303,4;403,7884998;269,5;508,9944564;248,48;1509,144157;234,92;1268,81691;248,48;1991,056602;234,92;239,6791546;234,92;661,7987286;234,92;175,4843649;221,36;558,8915951;234,92;3986,52637;234,92;1467,978448;248,48;430,657055;234,92;836,563742;234,92;716,2737233;234,92;2695,053525;234,92;489,3492087;221,36;3070,417213
202,4;370,2708118;195,2;960,4516813;202,4;523,9407946;195,2;2097,046044;304;236,4797961;270;382,2988375;304;413,0103525;270;516,8020762;248,8;1478,173747;235,2;1236,634566;248,8;1957,038539;235,2;222,3870279;235,2;635,9714946;235,2;163,3882002;221,6;533,1329921;235,2;3904,928647;235,2;1393,93507;248,8;408,7223232;235,2;830,4594123;235,2;700,7611256;235,2;2588,041432;235,2;454,0273201;221,6;2976,045256
202,76;408,6160636;195,48;917,5871176;202,76;566,5075623;195,48;1966,142069;304,6;238,995305;270,5;384,2970485;304,6;423,0681296;270,5;525,5348161;249,12;1445,879057;235,48;1203,905487;249,12;1920,958225;235,48;206,1230833;235,48;610,3962258;235,48;151,9472868;221,84;508,1565315;235,48;3820,150047;235,48;1322,194873;249,12;387,4061263;235,48;823,296213;235,48;684,8885463;235,48;2482,262519;235,48;420,7995305;221,84;2881,702391
203,12;449,4988225;195,76;877,1960322;203,12;612,4386358;195,76;1839,555139;305,2;242,2103011;271;387,6125611;305,2;433,9534195;271;535,0818022;249,44;1412,390152;235,76;1170,711294;249,44;1882,971901;235,76;190,8460001;235,76;585,1287081;235,76;141,1427411;222,08;483,9644127;235,76;3732,505325;235,76;1252,796669;249,44;366,7333469;235,76;815,1094572;235,76;668,6894335;235,76;2377,938568;235,76;389,5840208;222,08;2787,581079
203,48;492,9098582;196,04;839,0340849;203,48;661,8093285;196,04;1717,589049;305,8;246,1487925;271,5;392,1398916;305,8;445,6485853;271,5;545,3249949;249,76;1377,837846;236,04;1137,134776;249,76;1843,239265;236,04;176,5143859;236,04;560,2209311;236,04;130,9546234;222,32;460,5568518;236,04;3642,310551;236,04;1185,768896;249,76;346,7245097;236,04;805,938052;236,04;652,1986081;236,04;2275,274219;236,04;360,2982308;222,32;2693,866322
203,84;538,8180282;196,32;802,8708635;203,84;714,65523;196,32;1600,485308;306,4;250,8290233;272;397,7689268;306,4;458,1267947;272;556,1404759;250,08;1342,352926;236,32;1103,259228;250,08;1801,922435;236,32;163,0869524;236,32;535,7209818;236,32;121,362128;222,56;437,9321909;236,32;3549,881369;236,32;1121,130106;250,08;327,3959554;236,32;795,8241869;236,32;635,4520073;236,32;2174,456821;236,32;332,8593165;222,56;2600,735128
204,2;587,1686926;196,6;768,4919893;204,2;770,9677105;196,6;1488,4265;307;256,2632174;272,5;404,3856081;307;471,3521625;272,5;567,3997793;250,4;1306,065409;236,6;1069,167829;250,4;1759,18494;236,6;150,5226792;236,6;511,6729741;236,6;112,3437627;222,8;416,0870073;236,6;3455,531326;236,6;1058,889481;250,4;308,7600333;236,6;784,8130103;236,6;618,4864261;236,6;2075,656421;236,6;307,1845698;222,8;2508,356062
204,56;637,8823609;196,88;735,7006541;204,56;830,6900144;196,88;1381,540102;307,6;262,4573847;273;411,872655;307,6;485,2800021;273;578,9712493;250,72;1269,10384;236,88;1034,943059;250,72;1715,190737;236,88;138,7809652;236,88;488,1170109;236,88;103,8775195;223,04;395,0162224;236,88;3359,570292;236,88;999,0473714;250,72;290,8253082;236,88;772,9522965;236,88;601,3392609;236,88;1979,025858;236,88;283,1918032;223,04;2416,888853
204,92;690,853615;197,16;704,3186263;204,92;893,7140736;197,16;1279,902614;308,2;269,4111879;273,5;420,1103217;308,2;499,8571815;273,5;590,7214106;251,04;1231,594632;237,16;1000,666149;251,04;1670,10327;237,16;127,821767;237,16;465,0891784;237,16;95,94103273;223,28;374,7132094;237,16;3262,302973;237,16;941,5958474;251,04;273,5967795;237,16;760,2921075;237,16;584,0482559;237,16;1884,700966;237,16;260,799697;223,28;2326,48407
205,28;745,9503499;197,44;674,1867709;205,28;959,878155;197,44;1183,543935;308,8;277,1178729;274;428,9771824;308,8;515,0225762;274;602,5163325;251,36;1193,661447;237,44;966,4165812;251,36;1624,084572;237,44;117,605725;237,44;442,6215692;237,44;88,51172726;223,52;355,1698993;237,44;3164,027519;237,44;886,5192678;251,36;257,0761097;237,44;746,88445;237,44;566,6512567;237,44;1792,80088;237,44;239,9281123;223,52;2237,282866
205,64;803,0133724;197,72;645,1651327;205,64;1028,965443;197,72;1092,451866;309,4;285,5642587;274,5;438,3509366;309,4;530,7076131;274,5;614,2229724;251,68;1155,424632;237,72;932,2716277;251,68;1577,294418;237,72;108,0942761;237,72;420,7423322;237,72;81,56695447;223,76;336,3768861;237,72;3065,034247;237,72;833,7948513;251,68;241,2618591;237,72;732,7829328;237,72;549,1859709;237,72;1703,428429;237,72;220,4983685;223,76;2149,41679
206;861,8563903;198;617,1326347;206;1100,703639;198;1006,576653;310;294,730789;275;448,1092288;310;546,8368962;275;625,7104816;252;1117,000705;238;898,3059364;252;1529,889531;238;99,24975385;238;399,4757483;238;75,08411697;224;318,3235297;238;2965,604468;238;783,3932519;252;226,1497237;238;718,0424257;238;531,6897405;238;1616,670611;238;202,4334883;224;2063,007651
206,36;922,2664221;198,28;589,9864464;206,36;1174,765631;198,28;925,8355131;310,6;304,5916421;275,5;458,1304726;310,6;563,3289062;275,5;636,8514602;252,32;1078,501886;238,28;864,5911616;252,32;1482,022846;238,28;91,03547615;238,28;378,8423277;238,28;69,04078173;224,24;300,9980569;238,28;2866,009436;238,28;735,279132;252,32;211,7327763;238,28;702,7187226;238,28;514,1993241;238,28;1532,599134;238,28;185,6584098;224,24;1978,167448
206,72;984,0046473;198,56;563,641076;206,72;1250,771278;198,56;850,1170461;311,2;315,1148984;276;468,2946727;311,2;580,0967627;276;647,5231459;252,64;1040,035692;238,56;831,1956411;252,64;1433,842837;238,56;83,41582047;238,56;358,8589273;238,56;63,4147819;224,48;284,3876605;238,56;2766,509406;238,56;689,4117315;252,64;198,0017048;238,56;686,8682124;238,56;496,7506944;238,56;1451,271031;238,56;170,1001685;224,48;1894,998356
207,08;1046,807708;198,84;538,0272392;207,08;1328,290296;198,84;779,2855048;311,8;326,262763;276,5;478,4842349;311,8;597,0490411;276,5;657,6085243;252,96;1001,704578;238,84;798,1841181;252,96;1385,492909;238,84;76,35628757;238,84;339,5388857;238,84;58,18430745;224,72;268,4785958;238,84;2667,352817;238,84;645,7454257;252,96;184,9450498;238,84;670,5475576;238,84;479,3788489;238,84;1372,729313;238,84;155,68805;224,72;1813,592763
