X MnH2O;Y MnH2O;X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-
157,74;804,2180317;251,9;282,6028661;226,8;4729,453187;209,44;2353,38988
157,96;700,543529;252,6;284,2124005;227,2;4545,212895;209,76;2307,94956
158,18;607,9930416;253,3;287,6134991;227,6;4357,063442;210,08;2274,363552
158,4;525,7482706;254;293,292051;228;4166,463395;210,4;2252,295147
158,62;452,9876376;254,7;301,7343606;228,4;3974,80018;210,72;2241,353348
158,84;388,8995917;255,4;313,4178037;228,8;3783,376517;211,04;2241,097287
159,06;332,6936767;256,1;328,8010477;229,2;3593,399227;211,36;2251,040608
159,28;283,609455;256,8;348,3139285;229,6;3405,97044;211,68;2270,65587
159,5;240,923429;257,5;372,3471071;230;3222,081184;212;2299,379003
159,72;203,9541313;258,2;401,2416621;230,4;3042,607293;212,32;2336,613851
159,94;172,0655725;258,9;435,2788195;230,8;2868,307506;212,64;2381,736834
160,16;144,6692497;259,6;474,6700527;231,2;2699,82361;212,96;2434,101746
160,38;121,2249192;260,3;519,5478277;231,6;2537,682448;213,28;2493,044708
160,6;101,2403332;261;569,9572883;232;2382,299576;213,6;2557,88926
160,82;84,27013228;261,7;625,8491962;232,4;2233,984352;213,92;2627,951592
161,04;69,91407101;262,4;687,0744378;232,8;2092,946232;214,24;2702,545893
161,26;57,81473952;263,1;753,3803968;233,2;1959,302027;214,56;2780,989761
161,48;47,65492425;263,8;824,4094571;233,6;1833,083905;214,88;2862,609661
161,7;39,15473483;264,5;899,6998531;234;1714,247904;215,2;2946,746341
161,92;32,06860381;265,2;978,6890186;234,4;1602,682759;215,52;3032,760174
162,14;26,18224919;265,9;1060,719509;234,8;1498,21884;215,84;3120,036328
162,36;21,30967198;266,6;1145,047487;235,2;1400,637035;216,16;3207,989713
162,58;17,29024608;267,3;1230,853665;235,6;1309,67742;216,48;3296,069617
162,8;13,9859436;268;1317,256513;236;1225,047586;216,8;3383,763953
163,02;11,2787263;268,7;1403,327446;236,4;1146,430514;217,12;3470,60306
163,24;9,06812376;269,4;1488,10763;236,8;1073,491909;217,44;3556,162966
163,46;7,269009419;270,1;1570,625973;237,2;1005,88693;217,76;3640,068074
163,68;5,80957903;270,8;1649,917821;237,6;943,2662692;218,08;3721,993196
163,9;4,629529695;271,5;1725,043849;238;885,2815434;218,4;3801,664911
164,12;3,678433526;272,2;1795,108615;238,4;831,5900085;218,72;3878,862198
164,34;2,914296541;272,9;1859,27826;238,8;781,8585805;219,04;3953,416343
164,56;2,302291108;273,6;1916,796868;239,2;735,7671934;219,36;4025,21009
164,78;1,81364878;274,3;1967,001032;239,6;693,0115179;219,68;4094,17607
165;1,424699598;275;2009,332261;240;653,3050805;220;4160,294505
165,22;1,116043694;275,7;2043,3469;240,4;616,3808259;220,32;4223,590245
165,44;0,87184125;276,4;2068,723364;240,8;581,9921738;220,64;4284,12916
165,66;0,67920739;277,1;2085,266535;241,2;549,9136213;220,96;4342,013979
165,88;0,527699322;277,8;2092,909299;241,6;519,9409462;221,28;4397,379612
166,1;0,40888399;278,5;2091,711257;242;491,8910655;221,6;4450,388062
166,32;0,315975435;279,2;2081,854753;242,4;465,6016022;221,92;4501,223006
166,54;0,243532153;279,9;2063,638425;242,8;440,9302125;222,24;4550,084129
166,76;0,187205723;280,6;2037,46854;243,2;417,7537218;222,56;4597,181332
166,98;0,14353299;281,3;2003,848447;243,6;395,9671136;222,88;4642,728888
167,2;0,109765037;282;1963,366491;244;375,4824145;223,2;4686,939665
167,42;0,083727058;282,7;1916,682776;244,4;356,2275087;223,52;4730,019509
167,64;0,063704025;283,4;1864,515155;244,8;338,1449173;223,84;4772,161877
167,86;0,048347812;284,1;1807,624835;245,2;321,1905671;224,16;4813,542817
168,08;0,036602038;284,8;1746,801952;245,6;305,3325738;224,48;4854,316367
168,3;0,027641508;285,5;1682,851448;246;290,5500557;224,8;4894,610454
168,52;0,020823591;286,2;1616,579569;246,4;276,831995;225,12;4934,523358
168,74;0,015649351;286,9;1548,781209;246,8;264,176154;225,44;4974,120777
168,96;0,011732569;287,6;1480,228344;247,2;252,5880549;225,76;5013,433558
169,18;0,008775164;288,3;1411,659696;247,6;242,080026;226,08;5052,456095
169,4;0,006547746;289;1343,771756;248;232,6703155;226,4;5091,145435
169,62;0,004874297;289,7;1277,211231;248,4;224,3822703;226,72;5129,421071
169,84;0,003620134;290,4;1212,568948;248,8;217,2435774;227,04;5167,165434
170,06;0,002682495;291,1;1150,3752;249,2;211,2855623;227,36;5204,225048
170,28;0,001983186;291,8;1091,09649;249,6;206,5425381;227,68;5240,412319
170,5;0,001462874;292,5;1035,133602;250;203,0511982;228;5275,507921
170,72;0,00107666;293,2;982,8209114;250,4;200,8500457;228,32;5309,263717
170,94;0,000790654;293,9;934,4268077;250,8;199,9788508;228,64;5341,40617
171,16;0,000579349;294,6;890,1551261;251,2;200,4781307;228,96;5371,640164
171,38;0,000423591;295,3;850,1474454;251,6;202,3886424;229,28;5399,653164
171,6;0,000309041;296;814,4861284;252;205,7508852;229,6;5425,119659
171,82;0,000224986;296,7;783,1979736;252,4;210,6046044;229,92;5447,705778
172,04;0,000163446;297,4;756,2583553;252,8;216,988294;230,24;5467,074038
172,26;0,000118489;298,1;733,5957333;253,2;224,9386942;230,56;5482,88811
172,48;8,57E-05;298,8;715,0964257;253,6;234,4902803;230,88;5494,817556
172,7;6,19E-05;299,5;700,6095458;254;245,6747445;231,2;5502,542448
172,92;4,46E-05;300,2;689,9520146;254,4;258,5204681;231,52;5505,75781
173,14;3,21E-05;300,9;682,9135721;254,8;273,0519873;231,84;5504,177805
173,36;2,30E-05;301,6;679,2617199;255,2;289,2894539;232,16;5497,539637
173,58;1,65E-05;302,3;678,7465386;255,6;307,2480959;232,48;5485,607085
173,8;1,18E-05;303;681,105329;256;326,9376802;232,8;5468,173654
174,02;0,000008399;303,7;686,0670395;256,4;348,3619858;233,12;5445,065293
174,24;5,98E-06;304,4;693,3564444;256,8;371,5182908;233,44;5416,142657
174,46;4,25E-06;305,1;702,6980467;257,2;396,3968822;233,76;5381,302898
174,68;3,01E-06;305,8;713,8196836;257,6;422,9805934;234,08;5340,480966
174,9;2,13E-06;306,5;726,4558184;258;451,2443788;234,4;5293,650427
175,12;1,51E-06;307,2;740,3505052;258,4;481,1549322;234,72;5240,823796
175,34;1,06E-06;307,9;755,2600172;258,8;512,6703556;235,04;5182,052398
175,56;7,48E-07;308,6;770,9551336;259,2;545,7398871;235,36;5117,425781
175,78;5,26E-07;309,3;787,2230802;259,6;580,3036931;235,68;5047,070692
176;3,69E-07;310;803,8691248;260;616,2927323;236;4971,14966
