X MnH2O;Y MnH2O;X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-
183,72;10,63063201;215,68;2237,28928;205,78;2835,914143;211,76;7756,833121
184;11,73560686;216;2219,400003;206;2898,799265;212;7888,12325
184,28;13,03414153;216,32;2204,972826;206,22;2960,336422;212,24;8010,109237
184,56;14,52828053;216,64;2194,200992;206,44;3020,194732;212,48;8122,32009
184,84;16,22051862;216,96;2187,224914;206,66;3078,057233;212,72;8224,328829
185,12;18,11347372;217,28;2184,13188;206,88;3133,621937;212,96;8315,754539
185,4;20,20957063;217,6;2184,956438;207,1;3186,602838;213,2;8396,264123
185,68;22,51073729;217,92;2189,681439;207,32;3236,730866;213,44;8465,57374
185,96;25,01811559;218,24;2198,23967;207,54;3283,754768;213,68;8523,449911
186,24;27,73178942;218,56;2210,516055;207,76;3327,441912;213,92;8569,71029
186,52;30,65053286;218,88;2226,350339;207,98;3367,579014;214,16;8604,224094
186,8;33,7715819;219,2;2245,540229;208,2;3403,972769;214,4;8626,912193
187,08;37,09043287;219,52;2267,844895;208,42;3436,450381;214,64;8637,74686
187,36;40,60067112;219,84;2292,988808;208,64;3464,859998;214,88;8636,751185
187,64;44,29383298;220,16;2320,665811;208,86;3489,071034;215,12;8623,998172
187,92;48,15930409;220,48;2350,543391;209,08;3508,974374;215,36;8599,609518
188,2;52,18425656;220,8;2382,267081;209,3;3524,482474;215,6;8563,754096
188,48;56,35362689;221,12;2415,464919;209,52;3535,529343;215,84;8516,64616
188,76;60,65013624;221,44;2449,751934;209,74;3542,070402;216,08;8458,543291
189,04;65,0543534;221,76;2484,734577;209,96;3544,082237;216,32;8389,7441
189,32;69,54480066;222,08;2520,015068;210,18;3541,562232;216,56;8310,585721
189,6;74,09810134;222,4;2555,195604;210,4;3534,5281;216,8;8221,441117
189,88;78,68916738;222,72;2589,882384;210,62;3523,017297;217,04;8122,716212
190,16;83,29142423;223,04;2623,689428;210,84;3507,086345;217,28;8014,846899
190,44;87,87706952;223,36;2656,24214;211,06;3486,810054;217,52;7898,295927
190,72;92,41736144;223,68;2687,180599;211,28;3462,28066;217,76;7773,549716
191;96,88293181;224;2716,16256;211,5;3433,606877;218;7641,115111
191,28;101,2441183;224,32;2742,866136;211,72;3400,912884;218,24;7501,516107
191,56;105,47131;224,64;2766,992159;211,94;3364,337239;218,48;7355,290582
191,84;109,5352999;224,96;2788,266204;212,16;3324,031746;218,72;7202,987037
192,12;113,4076383;225,28;2806,440278;212,38;3280,160271;218,96;7045,1614
192,4;117,0609797;225,6;2821,294175;212,6;3232,897521;219,2;6882,373892
192,68;120,4694178;225,92;2832,636497;212,82;3182,427806;219,44;6715,185982
192,96;123,6088024;226,24;2840,305347;213,04;3128,943768;219,68;6544,157461
193,24;126,4570319;226,56;2844,168718;213,26;3072,645119;219,92;6369,843632
193,52;128,9943167;226,88;2844,12457;213,48;3013,737368;220,16;6192,792661
193,8;131,2034094;227,2;2840,10063;213,7;2952,430563;220,4;6013,543066
194,08;133,0697975;227,52;2832,053929;213,92;2888,938056;220,64;5832,621391
194,36;134,5818553;227,84;2819,970078;214,14;2823,475288;220,88;5650,540048
194,64;135,7309548;228,16;2803,862337;214,36;2756,258616;221,12;5467,795356
194,92;136,5115318;228,48;2783,770466;214,58;2687,504172;221,36;5284,865758
195,2;136,921109;228,8;2759,759405;214,8;2617,426782;221,6;5102,210249
195,48;136,9602762;229,12;2731,917788;215,02;2546,238931;221,84;4920,266989
195,76;136,6326282;229,44;2700,356331;215,24;2474,149786;222,08;4739,452119
196,04;135,9446632;229,76;2665,206103;215,46;2401,364289;222,32;4560,15877
196,32;134,9056456;230,08;2626,616714;215,68;2328,082309;222,56;4382,756269
196,6;133,5274341;230,4;2584,754434;215,9;2254,497868;222,8;4207,589525
196,88;131,824282;230,72;2539,800267;216,12;2180,798439;223,04;4034,978604
197,16;129,8126117;231,04;2491,948007;216,34;2107,164314;223,28;3865,218467
197,44;127,5107697;231,36;2441,402281;216,56;2033,768051;223,52;3698,578891
197,72;124,9387655;231,68;2388,376615;216,78;1960,773988;223,76;3535,304527
198;122,1180004;232;2333,091522;217;1888,337836;224;3375,615119
198,28;119,0709902;232,32;2275,772646;217,22;1816,606345;224,24;3219,705856
198,56;115,821087;232,64;2216,648957;217,44;1745,71704;224,48;3067,747841
198,84;112,3922033;232,96;2155,951021;217,66;1675,79802;224,72;2919,888685
199,12;108,8085447;233,28;2093,909361;217,88;1606,967835;224,96;2776,2532
199,4;105,0943519;233,6;2030,752898;218,1;1539,335416;225,2;2636,944177
199,68;101,2736583;233,92;1966,707505;218,32;1473,000072;225,44;2502,043252
199,96;97,37006294;234,24;1901,994662;218,54;1408,051541;225,68;2371,611833
200,24;93,40652411;234,56;1836,830221;218,76;1344,57009;225,92;2245,69209
200,52;89,40517291;234,88;1771,423295;218,98;1282,626676;226,16;2124,307985
200,8;85,38714943;235,2;1705,975257;219,2;1222,283139;226,4;2007,466342
201,08;81,37246201;235,52;1640,678859;219,42;1163,592441;226,64;1895,157943
201,36;77,37986981;235,84;1575,717477;219,64;1106,598944;226,88;1787,358637
201,64;73,4267888;236,16;1511,264465;219,86;1051,338713;227,12;1684,030457
201,92;69,52922063;236,48;1447,482626;220,08;997,8398593;227,36;1585,122744
202,2;65,70170352;236,8;1384,523797;220,3;946,1228912;227,6;1490,573249
202,48;61,95728418;237,12;1322,528543;220,52;896,2010996;227,84;1400,309233
202,76;58,30750929;237,44;1261,625949;220,74;848,0809505;228,08;1314,248538
203,04;54,76243509;237,76;1201,933513;220,96;801,7624925;228,32;1232,300634
203,32;51,33065324;238,08;1143,557133;221,18;757,2397732;228,56;1154,367632
203,6;48,01933124;238,4;1086,591174;221,4;714,5012593;228,8;1080,345263
203,88;44,8342655;238,72;1031,11862;221,62;673,5302601;229,04;1010,123817
