Wavelengt [nm],s1.4,s2.4,s3.4,s4.4,s5.4,s6.4,s7.4
204.9,4.5379880080414686e-21,4.455283144070528e-21,4.53073971659233e-21,4.426289978273974e-21,4.439857293037746e-21,4.413837785271607e-21,4.445061194590974e-21
205.0,4.5552723953432604e-21,4.4879933824051026e-21,4.52330557151629e-21,4.4417158293067554e-21,4.434839245111419e-21,4.429077782677489e-21,4.447105584486884e-21
205.1,4.553971419954953e-21,4.4868782606436964e-21,4.501188989915073e-21,4.44636216997928e-21,4.459186070235449e-21,4.419041686824835e-21,4.4755411894027365e-21
205.2,4.5496967865362306e-21,4.490223625927914e-21,4.4991446000191615e-21,4.450636803398003e-21,4.463646557281073e-21,4.396739251596716e-21,4.4801875300752605e-21
205.3,4.561777272284795e-21,4.49319728395833e-21,4.5052777697068944e-21,4.4420875365605575e-21,4.498587039138459e-21,4.395066568954607e-21,4.484648017120884e-21
205.4,4.5571309316122706e-21,4.481674359090469e-21,4.4984011855115574e-21,4.438184610395637e-21,4.527208497681212e-21,4.39562412983531e-21,4.4814885054635676e-21
205.5,4.581663610363201e-21,4.465690947176983e-21,4.532226545607538e-21,4.45193777878631e-21,4.53073971659233e-21,4.410492419987389e-21,4.466248508057686e-21
205.6,4.572928489898855e-21,4.4805592373290625e-21,4.525721668666003e-21,4.4567699730857365e-21,4.540589958818082e-21,4.427962660916082e-21,4.466620215311489e-21
205.7,4.590212877200647e-21,4.501746550795776e-21,4.521075327993478e-21,4.448406559875191e-21,4.534085081876548e-21,4.45175192515941e-21,4.478700701060053e-21
205.8,4.604151899218221e-21,4.5108533785139235e-21,4.5443070313561025e-21,4.457141680339538e-21,4.5549006880894584e-21,4.472381677745419e-21,4.47814314017935e-21
205.9,4.610656776159755e-21,4.547466543013419e-21,4.562892394046201e-21,4.464389971788676e-21,4.573671904406458e-21,4.4792582619407554e-21,4.497286063750151e-21
206.0,4.628127017088449e-21,4.569583124614637e-21,4.579805074094191e-21,4.484276309867082e-21,4.588540194558538e-21,4.4807450909559635e-21,4.5242348396507954e-21
206.1,4.6234806764159234e-21,4.55880361425438e-21,4.590770438081349e-21,4.513269475663637e-21,4.59634604688838e-21,4.488736796912706e-21,4.543377763221597e-21
206.2,4.6257109199387356e-21,4.5567592243584686e-21,4.602293362949211e-21,4.5112250857677255e-21,4.585752390155023e-21,4.48948021142031e-21,4.564193369434508e-21
206.3,4.628684577969151e-21,4.5502543474169344e-21,4.602850923829914e-21,4.5127119147829344e-21,4.5811060494824984e-21,4.485205578001587e-21,4.576831416063776e-21
206.4,4.628870431596053e-21,4.535386057264855e-21,4.613816287817072e-21,4.522004596127983e-21,4.576088001556172e-21,4.506578745095201e-21,4.595416778753874e-21
206.5,4.652659695839379e-21,4.560662150523389e-21,4.610285068905953e-21,4.525349961412201e-21,4.5667953202111214e-21,4.497100210123251e-21,4.587982633677835e-21
206.6,4.665483596095547e-21,4.597089461395983e-21,4.602293362949211e-21,4.541890934206389e-21,4.561219711404092e-21,4.508623134991112e-21,4.5933723888579635e-21
206.7,4.692060664742389e-21,4.595602632380776e-21,4.604895313725825e-21,4.532226545607538e-21,4.570326539122241e-21,4.523119717889389e-21,4.5993197049187946e-21
206.8,4.7061855403868644e-21,4.623294822789023e-21,4.604523606472023e-21,4.528323619442617e-21,4.572185075391251e-21,4.522562157008686e-21,4.587982633677835e-21
206.9,4.703769443237151e-21,4.617719213981993e-21,4.621807993773815e-21,4.530368009338528e-21,4.604151899218221e-21,4.52330557151629e-21,4.597089461395983e-21
207.0,4.721797245046547e-21,4.5998772657994984e-21,4.633145065014776e-21,4.53259825286134e-21,4.6327733577609736e-21,4.5182875235899635e-21,4.58891190181234e-21
207.1,4.7186377333892304e-21,4.604523606472023e-21,4.649686037808963e-21,4.5630782476731025e-21,4.633516772268578e-21,4.5175441090823594e-21,4.580176781347993e-21
207.2,4.715478221731914e-21,4.604151899218221e-21,4.661208962676824e-21,4.58705336554333e-21,4.642066039106023e-21,4.5182875235899635e-21,4.591327998962053e-21
207.3,4.6998665170722305e-21,4.618834335743399e-21,4.6565626220043004e-21,4.6132587269363696e-21,4.659164572780914e-21,4.512526061156033e-21,4.58891190181234e-21
207.4,4.701910906968142e-21,4.6206928720124096e-21,4.664554327961042e-21,4.6377914056873004e-21,4.656190914750498e-21,4.514198743798142e-21,4.5931865352310624e-21
