Wavelengt [nm],s1.3,s2.3,s3.3,s4.3
720.4,1.7885129728265182e-09,1.1659759007027314e-09,6.721061880345875e-10,2.170937362879717e-09
720.3,1.7887206910175486e-09,1.1047370374759677e-09,6.721842465578858e-10,2.1711894959023504e-09
720.2,1.788928409208579e-09,1.104865326917769e-09,5.602185875676537e-10,2.171441628924984e-09
720.1,1.7891361273996095e-09,1.10499361635957e-09,4.482269090696552e-10,2.0573940902661634e-09
720.0,1.8510453575075588e-09,1.1051219058013712e-09,4.4827894808518747e-10,2.17194589497025e-09
719.9,1.8514751192821045e-09,1.1053784846849736e-09,3.3628726958718897e-10,2.172450161015517e-09
719.8,1.790174718354762e-09,1.2284834039650846e-09,3.363653281104875e-10,2.401686472014551e-09
719.7,1.7288456666424487e-09,1.1673300670328544e-09,3.3644338663378574e-10,2.5166363814912165e-09
719.6,1.729246777632025e-09,1.1676009002988794e-09,4.486952602094457e-10,2.4028011653777715e-09
719.5,1.791421027500944e-09,1.167871733564904e-09,4.487993382405102e-10,2.403358512059382e-09
719.4,1.853623928154833e-09,1.106661379102985e-09,6.733551244073621e-10,2.289443674991422e-09
719.3,1.7304501106007534e-09,1.1069179579865875e-09,5.612593678782994e-10,2.289974481354861e-09
719.2,1.7308512215903287e-09,1.1071745368701895e-09,5.613894654171298e-10,2.2905052877182985e-09
719.1,1.669421892130623e-09,1.1689550666290027e-09,5.615195629559606e-10,2.2910360940817378e-09
719.0,1.731653443569481e-09,1.2307641051526603e-09,5.616496604947913e-10,2.2915669004451766e-09
718.9,1.793913645793309e-09,1.2926016524411628e-09,6.741357096403462e-10,2.292097706808615e-09
718.8,1.6705822489218968e-09,1.35446770849451e-09,5.619098555724528e-10,2.4072599388306565e-09
718.7,1.7328567765382085e-09,1.3547813049078013e-09,5.620399531112833e-10,2.5224752514890416e-09
