Wavelengt [nm],s1.1,s2.1,s3.1,s4.1
228.0,1.5346000372664573e-21,2.7689369120522356e-21,2.0207888031241772e-21,1.2440143679047357e-21
228.2,1.5291544665683193e-21,2.75732004315609e-21,1.931639133521914e-21,1.195252810462963e-21
228.4,1.5347433417585134e-21,2.7311820881397625e-21,1.856655195318316e-21,1.1492663010056814e-21
228.6,1.5440581337421704e-21,2.694364108493108e-21,1.7790269872536332e-21,1.109622758370094e-21
228.8,1.544488047218339e-21,2.6218523623187804e-21,1.6998877678397603e-21,1.0711685220135742e-21
229.0,1.5440103655781516e-21,2.5488721940115433e-21,1.6284924815904902e-21,1.0263713188353602e-21
229.2,1.5527997077576023e-21,2.483199410977688e-21,1.5635189935752815e-21,9.867277761997728e-22
229.4,1.5469242235832955e-21,2.4106876648033605e-21,1.5064783151433252e-21,9.51048587827744e-22
229.6,1.5351254870706634e-21,2.3348032792720874e-21,1.4490598838740711e-21,9.22505237130121e-22
229.8,1.5443925108903014e-21,2.2437420166345596e-21,1.3874861713945421e-21,8.923761447270745e-22
230.0,1.553611766545921e-21,2.1526807539970317e-21,1.3344118977542118e-21,8.630399231767397e-22
230.2,1.544488047218339e-21,2.0603079093873584e-21,1.2817153769511791e-21,8.293429119364904e-22
230.4,1.5352687915627198e-21,1.9780529828485216e-21,1.2305298674973375e-21,7.976280778280203e-22
230.6,1.5351732552346822e-21,1.894580158764121e-21,1.186143909114855e-21,7.730490813939561e-22
230.8,1.5351254870706634e-21,1.811294703532884e-21,1.1419468271510213e-21,7.472807786808243e-22
231.0,1.5351732552346822e-21,1.7283839860079745e-21,1.1000162622109738e-21,7.254768302312511e-22
231.2,1.5411920439010451e-21,1.6491269611197559e-21,1.0601633378760639e-21,7.048621880607457e-22
231.4,1.5279124943038318e-21,1.5786762723302282e-21,1.0223880541462914e-21,6.862297230220196e-22
231.6,1.5137731177542809e-21,1.5087876901001915e-21,9.889569280454427e-22,6.636329037197346e-22
231.8,1.5302531343407508e-21,1.4441454357587365e-21,9.593033303175714e-22,6.438111324019409e-22
