X b3lyp6311;Y b3lyp6311;DY/DX b3lyp6311;X b3lyp6311++;Y b3lyp6311++;DX/DY 6311++;X c-b631;Y c-b631;DY/DX c-b631;X c-b6311;Y c-b6311;DY/DX c-b6311;X c-b6311++;Y c-b6311++;DY/DX c-b6311++;X wb631;Y wb631;DY/DX wb631;X wb6311;Y wb6311;DY/DX wb6311;X wb6311++;Y wb6311++;DY/DX wb6311++;X b3lyp fit2;Y b3lyp fit2;DY/DX b3lyp fit2;X c-b fit2;Y c-b fit2;DY/DX c-b fit2;X wb fit2;Y wb fit2;DY/DX wb fit2
174,3;0,042460181;0,000000668;180,4;9,17E-07;0;153;5,89070968;0,04398632;151,7;0,00139011;2,40E-09;163;2,69E-05;0;151,7;9,305169329;0,092829459;150,4;0,590181178;0,000211667;161,7;1,90E-09;0;158,2;0;0;140,8;0;0;138,2;0;0
174,52;0,07079356;1,85E-06;180,56;1,45E-06;0;153,2;9,067684995;0,099776556;151,88;0,002543891;0,000000008;163,2;5,11E-05;0;151,88;13,58619888;0,195233991;150,56;0,908361952;0,000505147;161,88;0,000000004;0;158,48;0;0;141,12;0;0;138,48;0;0
174,74;0,116627277;0,000004981;180,72;2,29E-06;0;153,4;13,7442051;0,218705102;152,06;0,004591378;2,63E-08;163,4;9,58E-05;0;152,06;19,56849623;0,398609366;150,72;1,38212235;0,001176314;162,06;8,50E-09;0;158,76;0;0;141,44;0;0;138,76;0;0
174,96;0,189864011;1,31E-05;180,88;3,59E-06;0;153,6;20,5166721;0,463393891;152,24;0,00817412;8,37E-08;163,6;0,000177454;1,00E-10;152,24;27,80685016;0,790166101;150,88;2,079122821;0,002673137;162,24;1,78E-08;0;159,04;0;0;141,76;0;0;139,04;0;0
175,18;0,305465865;3,35E-05;181,04;5,58E-06;0;153,8;30,16673105;0,949393595;152,42;0,014356602;2,59E-07;163,8;0,000324624;3,00E-10;152,42;38,9879848;1,520969812;151,04;3,092373738;0,005928731;162,42;3,71E-08;0;159,32;0;0;142,08;0;0;139,32;0;0
175,4;0,485737162;8,38E-05;181,2;8,65E-06;0;154;43,69724438;1,881449253;152,6;0,02487911;7,76E-07;164;0,000586593;0,000000001;152,6;53,94424162;2,843166107;151,2;4,547932608;0,012834933;162,6;7,63E-08;0;159,6;0;0;142,4;0;0;139,6;0;0
175,62;0,763483037;0,000204146;181,36;1,33E-05;0;154,2;62,36708656;3,607748436;152,78;0,042545261;2,26E-06;164,2;0,001047147;3,20E-09;152,78;73,66249346;5,161864109;151,36;6,614214783;0,027124653;162,78;0,000000155;0;159,88;0;0;142,72;0;0;139,88;0;0
175,84;1,186307814;0,000485255;181,52;2,04E-05;0;154,4;87,7212166;6,696162595;152,96;0,071806234;6,38E-06;164,4;0,001846906;9,90E-09;152,96;99,28592785;9,102723411;151,52;9,512984831;0,055965363;162,96;3,11E-07;0;160,16;0;0;143,04;0;0;140,16;0;0
176,06;1,822365825;0,001125413;181,68;0,00003098;0;154,6;121,6116599;12,03401657;153,14;0,119627204;1,75E-05;164,6;0,003218851;2,93E-08;153,14;132,1062391;15,59294235;151,68;13,53198702;0,112746513;163,14;6,19E-07;0;160,44;0;0;143,36;0;0;140,44;0;0
176,28;2,767922075;0,002547099;181,84;4,69E-05;0;154,8;166,2044531;20,94779119;153,32;0,196751313;4,68E-05;164,8;0,005544039;8,48E-08;153,32;173,543913;25,94783394;151,84;19,03902254;0,221798117;163,32;1,22E-06;0;160,72;0;0;143,68;0;0;140,72;0;0
176,5;4,157114189;0,005626672;182;7,05E-05;0;155;223,9674515;35,33090886;153,5;0,319513379;0,000121222;165;0,009437806;2,39E-07;153,5;225,114731;41,94755172;152;26,49708697;0,426112059;163,5;2,36E-06;0;161;0;0;144;0;0;141;0;0
176,72;6,174321524;0,012134147;182,16;0,000105441;0;155,2;297,6343465;57,75666027;153,68;0,512399619;0,000305414;165,2;0,015881207;6,55E-07;153,68;288,3813977;65,87964893;152,16;36,47994675;0,799538083;163,68;4,54E-06;0;161,28;0;0;144,32;0;0;141,28;0;0
176,94;9,069531289;0,025550415;182,32;0,000156822;0;155,4;390,1414222;91,54088394;153,86;0,811600409;0,000747976;165,4;0,026418666;1,75E-06;153,86;364,8902993;100,5149645;152,32;49,6872674;1,46534402;163,86;8,64E-06;0;161,56;0;0;144,64;0;0;141,56;0;0
177,16;13,1770324;0,052540793;182,48;0,000231936;1,00E-10;155,6;504,5355692;140,7081356;154,04;1,269858959;0,001781003;165,6;0,043450918;4,55E-06;154,04;456,0947849;148,9798958;152,48;66,95812449;2,623362405;164,04;1,63E-05;0;161,84;0;0;144,96;0;0;141,84;0;0
177,38;18,93765254;0,105531876;182,64;0,00034112;2,00E-10;155,8;643,8548287;209,8099993;154,22;1,962976865;0,004123862;165,8;0,070662994;1,15E-05;154,22;563,2679244;214,4912331;152,64;89,28145349;4,58802202;164,22;3,03E-05;0;162,12;0;0;145,28;0;0;142,12;0;0
177,6;26,92456966;0,207079387;182,8;0,000498927;4,00E-10;156;810,9860774;303,5497089;154,4;2,998393134;0,00928735;166;0,113640432;2,85E-05;154,4;687,4092862;299,9339709;152,8;117,801758;7,839137055;164,4;5,57E-05;0;162,4;1E-10;0;145,6;0;0;142,4;0;0
177,82;37,87246584;0,397039219;182,96;0,000725721;8,00E-10;156,2;1008,508075;426,1875111;154,58;4,526300024;0,020347708;166,2;0,180743481;6,86E-05;154,58;829,1517181;407,2898149;152,96;153,8182314;13,08609467;164,58;0,000101479;0;162,68;1E-10;0;145,92;0;0;142,68;0;0
178,04;52,70944356;0,743960024;183,12;0,001049826;1,60E-09;156,4;1238,531509;580,7381027;154,76;6,753788326;0,043377565;166,4;0,284328798;0,000161029;154,76;988,6751849;536,9631662;153,12;198,7753946;21,3437319;164,76;0,000182925;0;162,96;2E-10;0;146,24;0;0;142,96;0;0
178,26;72,59069304;1,362576195;183,28;0,001510402;3,40E-09;156,6;1502,550353;768,0231016;154,94;9,962515828;0,089998151;166,6;0,442430788;0,00036878;154,94;1165,635246;687,0964828;153,28;254,2434501;34,01449952;164,94;0,000326295;0;163,24;4E-10;0;146,56;0;0;143,24;0;0
178,48;98,93239588;2,439726631;183,44;0,002161265;7,10E-09;156,8;1801,320197;985,7011852;155,12;14,53035349;0,181767819;166,8;0,681039455;0,000823935;155,12;1359,113565;853,0078161;153,44;321,8868325;52,96646958;165,12;0,000575993;0;163,52;7E-10;0;146,88;0;0;143,52;0;0
178,7;133,4437977;4,271333148;183,6;0,003075925;1,46E-08;157;2134,778759;1227,454824;155,3;20,95737068;0,357450464;167;1,03713696;0,001796405;155,3;1567,596873;1026,906719;153,6;403,4199164;80,5907282;165,3;0,001006289;1,00E-10;163,8;1,2E-09;0;147,2;1E-10;0;143,8;0;0
178,92;178,154816;7,313051813;183,76;0,004354201;2,95E-08;157,2;2502,021134;1482,550565;155,48;29,89636002;0,68459823;167,2;1,562678554;0,003823222;155,48;1788,989026;1198,037484;153,76;500,5495405;119,8156004;165,48;0,001740022;4,00E-10;164,08;0,000000002;0;147,52;1E-10;0;144,08;0;0
179,14;235,4360183;12,24660532;183,92;0,006130816;5,92E-08;157,4;2901,33748;1735,993793;155,66;42,18786114;1,277286852;167,4;2,329721735;0,007945199;155,66;2020,658355;1353,352233;153,92;614,9048889;174,0504507;165,66;0,002978115;1,30E-09;164,36;3,5E-09;0;147,84;3E-10;0;144,36;0;0
179,36;308,0073729;20,06231829;184,08;0,008586529;1,17E-07;157,6;3330,314024;1969,45561;155,84;58,8993109;2,322164171;167,6;3,436915633;0,016127734;155,84;2259,519586;1478,730924;154,08;747,9563202;247,0304525;165,84;0,005045578;3,70E-09;164,64;6,1E-09;0;148,16;6E-10;0;144,64;0;0
179,58;398,9319043;32,15572601;184,24;0,011962418;2,30E-07;157,8;3785,990101;2163,052366;156,02;81,36751966;4,115067043;167,8;5,01755499;0,031987938;156,02;2502,146516;1560,652592;154,24;900,9258694;342,537874;166,02;0,008462347;1,04E-08;164,92;1,03E-08;0;148,48;1,4E-09;0;144,92;0;0
179,8;511,5903572;50,43212617;184,4;0,01657809;4,45E-07;158;4265,055492;2297,911155;156,2;111,2431501;7,110142294;168;7,249372722;0,06201577;156,2;2744,908725;1588,104495;154,4;1074,693299;463,9869105;166,2;0,014051047;2,88E-08;165,2;1,75E-08;0;148,8;3,1E-09;0;145,2;0;0
180,02;649,6332479;77,40762404;184,56;0,022854758;8,52E-07;158,2;4764,064715;2359,273918;156,38;150,5352668;11,98248017;168,2;10,36618448;0,117567531;156,38;2984,123231;1554,422501;154,56;1269,702629;613,8786986;166,38;0,023098933;7,84E-08;165,48;2,93E-08;0;149,12;6,6E-09;0;145,48;0;0
180,24;816,9073215;116,2889558;184,72;0,031344235;1,61E-06;158,4;5279,639512;2339,708415;156,56;201,6533514;19,70359296;168,4;14,67140053;0,21802959;156,56;3216,210475;1458,715365;154,72;1485,874919;793,1599637;166,56;0,037598256;2,09E-07;165,76;4,89E-08;0;149,44;1,41E-08;0;145,76;0;0
180,46;1017,354465;171,0079813;184,88;0,042765146;3,03E-06;158,6;5808,628742;2241,846626;156,74;267,4434777;31,62663898;168,6;20,55327828;0,395699802;156,74;3437,843607;1306,556649;154,88;1722,533637;1000,549617;166,74;0,060598663;5,45E-07;166,04;0,000000081;0;149,76;2,96E-08;0;146,04;0;0
180,68;1254,882555;246,1815177;185,04;0,058047812;5,61E-06;158,8;6348,197022;2080,004383;156,92;351,2146527;49,57530245;168,8;28,50159864;0,703109281;156,92;3646,080774;1109,73373;155,04;1978,349052;1231,927086;166,92;0,096717443;1,39E-06;166,32;1,331E-07;0;150,08;6,12E-08;0;146,32;0;0
180,9;1533,209508;346,9648595;185,2;0,078389466;1,03E-05;159;6895,820146;1880,089094;157,1;456,7507314;75,92714129;169;39,12521142;1,22369532;157,1;3838,47202;885,0073369;155,2;2251,307756;1479,897105;167,1;0,152869083;3,48E-06;166,6;2,173E-07;0;150,4;1,249E-07;0;146,6;0;0
181,12;1855,683863;478,7697967;185,36;0,105321707;1,86E-05;159,2;7449,176104;1677,397215;157,28;588,3028646;113,6796616;169,2;53,16961397;2,086911567;157,28;4013,13522;652,0241775;155,36;2538,712564;1733,65065;167,28;0,239295271;8,55E-06;166,88;3,523E-07;0;150,72;2,514E-07;0;146,88;0;0
181,34;2225,087465;646,8269368;185,52;0,140792266;3,34E-05;159,4;8005,934472;1512,234124;157,46;750,5572432;166,4860846;169,4;71,53341522;3,488980225;157,46;4168,798898;430,6975381;155,52;2837,216674;1979,224564;167,46;0,371000513;2,05E-05;167,16;0,000000567;0;151,04;4,994E-07;0;147,16;0;0
181,56;2643,428013;855,588695;185,68;0,18726338;5,93E-05;159,6;8563,46232;1423,716527;157,64;948,5730417;238,648265;169,6;95,28221541;5,720485157;157,64;4304,813403;238,4860187;155,68;3142,894171;2200,220863;167,64;0,569727276;0,000048377;167,44;9,065E-07;0;151,36;9,792E-07;0;147,44;0;0
181,78;3111,731288;1107,993262;185,84;0,247829225;0,000104042;159,8;9118,479466;1442,568027;157,82;1187,686036;335,0565465;169,8;125,6581275;9,201776477;157,82;4421,13523;88,03126782;155,84;3451,34681;2378,983262;167,82;0,866637806;0,000111687;167,72;1,4393E-06;0;151,68;1,8955E-06;0;147,72;0;0
182;3629,844489;1404,639373;186;0,326354999;0,000180645;160;9666,70783;1584,094218;158;1473,374448;461,069847;170;164,0829181;14,52657664;158;4518,291962;-14,44595047;156;3757,844665;2498,151656;168;1,305906887;0,00025276;168;2,2701E-06;0;152;3,6228E-06;0;148;1E-10;0
182,22;4196,263135;1742,953066;186,16;0,427640317;0,000310312;160,2;10202,56653;1842,721024;158,18;1811,085218;622,3326033;170,2;212,1525955;22,51308744;158,18;4597,336834;-69,7316354;156,16;4057,495892;2542,438464;168,18;1,949469489;0,0005608;168,28;3,5565E-06;0;152,32;6,8369E-06;0;148,28;2E-10;0
182,44;4807,99429;2116,455501;186,32;0,557609572;0,000527402;160,4;10718,965;2189,415252;158,36;2206,021103;824,5266439;170,4;271,6212678;34,26013164;158,36;4659,802305;-85,11255994;156,32;4345,438585;2500,409939;168,36;2,883207185;0,00121998;168,56;5,5353E-06;0;152,64;1,27425E-05;0;148,56;3E-10;0
