Wavelengt [nm],s1.3,s2.3,s3.3,s4.3
365.0,3.5608832748072435e-23,4.541038971691649e-23,2.9550726677257384e-23,4.739342530702301e-23
364.9,3.683672353248872e-23,4.663219392454653e-23,3.010828755796035e-23,4.909958861807583e-23
364.8,3.7246020460627493e-23,4.7039461993756544e-23,3.0479994811762336e-23,4.98578834229882e-23
364.7,3.765531738876626e-23,4.754854708026906e-23,3.066584843866332e-23,4.98578834229882e-23
364.6,3.8269262780974404e-23,4.826126620138658e-23,3.159511657316827e-23,5.0616178227900574e-23
364.5,3.8064614316905016e-23,4.846490023599159e-23,3.178097020006926e-23,5.0237030825444384e-23
364.4,3.857623547707847e-23,4.907580233980661e-23,3.2524384707673224e-23,5.0426604526672476e-23
364.3,3.919018086928662e-23,4.989033847822664e-23,3.28960919614752e-23,5.099532563035675e-23
364.2,3.9804126261494764e-23,5.0399423564739156e-23,3.3267799215277174e-23,5.156404673404103e-23
364.1,4.0315747421668214e-23,5.070487461664666e-23,3.363950646907916e-23,5.2132767837725305e-23
364.0,4.0725044349806984e-23,5.121395970315918e-23,3.4011213722881135e-23,5.2701488941409576e-23
363.9,4.103201704591105e-23,5.16212277723692e-23,3.4382920976683116e-23,5.345978374632195e-23
363.8,4.123666550998044e-23,5.2130312858881714e-23,3.4568774603584106e-23,5.383893114877813e-23
363.7,4.2157583598292654e-23,5.284303197999924e-23,3.531218911118807e-23,5.402850485000623e-23
363.6,4.246455629439673e-23,5.314848303190675e-23,3.568389636499004e-23,5.402850485000623e-23
363.5,4.3078501686604873e-23,5.345393408381425e-23,3.6241457245693014e-23,5.402850485000623e-23
363.4,4.348779861474364e-23,5.416665320493177e-23,3.7170725380197966e-23,5.516594705737478e-23
363.3,4.369244707881302e-23,5.437028723953679e-23,3.772828626090093e-23,5.573466816105906e-23
363.2,4.4204068238986475e-23,5.47775553087468e-23,3.82858471416039e-23,5.630338926474333e-23
363.1,4.461336516712524e-23,5.51848233779568e-23,3.865755439540588e-23,5.687211036842761e-23
363.0,4.4920337863229313e-23,5.528664039525931e-23,3.847170076850489e-23,5.687211036842761e-23
362.9,4.543195902340277e-23,5.589754249907433e-23,3.865755439540588e-23,5.706168406965569e-23
362.8,4.604590441561091e-23,5.640662758558684e-23,3.9215115276108854e-23,5.744083147211188e-23
362.7,4.645520134374968e-23,5.711934670670437e-23,3.9215115276108854e-23,5.838869997825234e-23
362.6,4.696682250392313e-23,5.77302488105194e-23,3.958682252991083e-23,5.914699478316471e-23
362.5,4.696682250392313e-23,5.834115091433442e-23,3.995852978371281e-23,5.990528958807708e-23
362.4,4.717147096799251e-23,5.854478494893942e-23,4.0144383410613805e-23,6.047401069176135e-23
362.3,4.717147096799251e-23,5.874841898354443e-23,4.0144383410613805e-23,6.066358439298945e-23
362.2,4.7580767896131276e-23,5.925750407005695e-23,4.070194429131677e-23,6.085315809421754e-23
362.1,4.788774059223535e-23,5.935932108735945e-23,4.070194429131677e-23,6.085315809421754e-23
362.0,4.829703752037411e-23,6.007204020847697e-23,4.107365154511875e-23,6.123230549667373e-23
361.9,4.870633444851288e-23,6.027567424308199e-23,4.107365154511875e-23,6.142187919790181e-23
361.8,4.891098291258226e-23,6.047930827768698e-23,4.144535879892073e-23,6.199060030158609e-23
361.7,4.9422604072755715e-23,6.119202739880451e-23,4.20029196796237e-23,6.255932140527037e-23
361.6,4.962725253682509e-23,6.139566143340952e-23,4.256048056032667e-23,6.255932140527037e-23
361.5,5.013887369699855e-23,6.180292950261953e-23,4.293218781412865e-23,6.274889510649846e-23
361.4,5.0445846393102614e-23,6.251564862373706e-23,4.330389506793063e-23,6.331761621018273e-23
361.3,5.075281908920669e-23,6.271928265834206e-23,4.3118041441029634e-23,6.350718991141083e-23
361.2,5.095746755327607e-23,6.312655072755207e-23,4.274633418722766e-23,6.445505841755129e-23
361.1,5.1469088713449525e-23,6.343200177945958e-23,4.348974869483162e-23,6.464463211877938e-23
361.0,5.1673737177518913e-23,6.373745283136709e-23,4.3861455948633595e-23,6.483420582000748e-23
360.9,5.17760614095536e-23,6.404290388327459e-23,4.423316320243558e-23,6.502377952123556e-23
360.8,5.2492331033796436e-23,6.434835493518212e-23,4.516243133694052e-23,6.502377952123556e-23
360.7,5.2492331033796436e-23,6.485744002169463e-23,4.534828496384152e-23,6.540292692369175e-23
360.6,5.2492331033796436e-23,6.526470809090465e-23,4.534828496384152e-23,6.559250062491983e-23
360.5,5.269697949786582e-23,6.577379317741717e-23,4.553413859074251e-23,6.540292692369175e-23
360.4,5.310627642600458e-23,6.607924422932467e-23,4.57199922176435e-23,6.578207432614793e-23
360.3,5.351557335414335e-23,6.607924422932467e-23,4.6091699471445473e-23,6.597164802737602e-23
360.2,5.412951874635149e-23,6.638469528123218e-23,4.6091699471445473e-23,6.616122172860411e-23
360.1,5.433416721042088e-23,6.628287826392968e-23,4.6277553098346464e-23,6.597164802737602e-23
360.0,5.443649144245557e-23,6.658832931583718e-23,4.646340672524746e-23,6.597164802737602e-23
359.9,5.505043683466371e-23,6.689378036774469e-23,4.7578528486653396e-23,6.710909023474458e-23
359.8,5.607367915501062e-23,6.67919633504422e-23,4.887950387496032e-23,6.729866393597266e-23
359.7,5.668762454721876e-23,6.669014633313969e-23,4.9251211128762304e-23,6.729866393597266e-23
359.6,5.730156993942691e-23,6.69955973850472e-23,4.869365024805933e-23,6.824653244211312e-23
359.5,5.699459724332283e-23,6.71992314196522e-23,4.7764382113554387e-23,6.748823763720075e-23
359.4,5.668762454721876e-23,6.781013352346724e-23,4.6091699471445473e-23,6.729866393597266e-23
359.3,5.627832761908001e-23,6.852285264458474e-23,4.6277553098346464e-23,6.843610614334122e-23
359.2,5.627832761908001e-23,6.852285264458474e-23,4.7578528486653396e-23,6.805695874088504e-23
359.1,5.668762454721876e-23,6.872648667918976e-23,4.832194299425735e-23,6.843610614334122e-23
